mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
53381.29284,-11.56507,0.00445,-10.78056,0.00452,EulerC2
53383.29287,-11.56017,0.00425,-10.77573,0.00191,EulerC2
53385.30063,-11.55948,0.00364,-10.75994,0.00467,EulerC2
53386.29033,-11.57903,0.00133,-10.76195,0.00507,EulerC2
53388.29398,-11.57301,0.00436,-10.78064,0.00458,EulerC2
53389.30891,-11.58672,0.00221,-10.76852,0.00228,EulerC2
53405.34696,-11.56393,0.00979,-10.71931,0.01556,EulerC2
53408.28661,-11.60801,0.00925,-10.71747,0.00823,EulerC2
53409.31628,-11.57641,0.00348,-10.72851,0.00844,EulerC2
53417.31790,-11.59267,0.00188,-10.72463,0.00312,EulerC2
53424.27198,-11.60490,0.00416,-10.70388,0.01298,EulerC2
53429.24014,-11.60730,0.01282,-10.70816,0.02636,EulerC2
53431.23962,-11.56685,0.00188,-10.71663,0.00575,EulerC2
53432.23478,-11.58031,0.00234,-10.74268,0.01589,EulerC2
53434.16436,-11.54468,0.00640,-10.73979,0.01948,EulerC2
53436.16523,-11.54533,0.00150,-10.69730,0.00944,EulerC2
53442.26926,-11.53516,0.00698,-10.73684,0.02312,EulerC2
53450.28672,-11.51570,0.00232,-10.69797,0.02107,EulerC2
53458.29084,-11.52762,0.00283,-10.67600,0.00619,EulerC2
53476.08189,-11.53328,0.00880,-10.64096,0.00724,EulerC2
53499.09378,-11.51116,0.00842,-10.62932,0.01126,EulerC2
53517.10800,-11.40792,0.00488,-10.70930,0.00434,EulerC2
53521.11730,-11.45124,0.00265,-10.65959,0.01879,EulerC2
53523.06842,-11.46163,0.00443,-10.65063,0.00234,EulerC2
53525.06904,-11.45298,0.00826,-10.62857,0.00561,EulerC2
53542.06905,-11.45341,0.00576,-10.64060,0.02131,EulerC2
53733.34944,-11.36410,0.00326,-10.57666,0.00765,EulerC2
53735.32416,-11.38748,0.00675,-10.60468,0.01536,EulerC2
53741.32753,-11.38739,0.00266,-10.61235,0.00958,EulerC2
53747.28903,-11.41985,0.00281,-10.62298,0.00942,EulerC2
53761.27900,-11.42505,0.00059,-10.60646,0.01061,EulerC2
53765.30326,-11.43737,0.00591,-10.61885,0.01773,EulerC2
53776.26602,-11.44385,0.00082,-10.66959,0.00719,EulerC2
53787.36512,-11.44581,0.00136,-10.65303,0.00261,EulerC2
53795.36348,-11.47020,0.00732,-10.71996,0.00731,EulerC2
53800.37118,-11.48508,0.00660,-10.67991,0.00352,EulerC2
53806.22812,-11.50414,0.00849,-10.63632,0.01648,EulerC2
53819.26972,-11.50707,0.00377,-10.70492,0.00133,EulerC2
53820.20271,-11.51051,0.01145,-10.69931,0.01128,EulerC2
53821.26969,-11.50761,0.00323,-10.71399,0.00418,EulerC2
53827.26203,-11.53053,0.00660,-10.76316,0.00592,EulerC2
53828.28111,-11.55138,0.00887,-10.80410,0.01054,EulerC2
53829.17860,-11.51741,0.00172,-10.73059,0.00158,EulerC2
53845.21274,-11.52677,0.00641,-10.82535,0.00629,EulerC2
53847.22170,-11.55437,0.00788,-10.78307,0.00772,EulerC2
53849.21827,-11.57873,0.00738,-10.77204,0.00886,EulerC2
53851.18724,-11.59845,0.00090,-10.75501,0.00329,EulerC2
53858.11920,-11.60199,0.00260,-10.75431,0.01121,EulerC2
53869.03143,-11.61406,0.00263,-10.70525,0.01186,EulerC2
53873.02874,-11.64068,0.00988,-10.72226,0.01089,EulerC2
53885.99422,-11.65060,0.00330,-10.74235,0.00406,EulerC2
53900.12756,-11.59201,0.00480,-10.80524,0.01092,EulerC2
53908.08196,-11.60002,0.00262,-10.83813,0.01145,EulerC2
53912.99848,-11.61041,0.00662,-10.84862,0.00297,EulerC2
53917.00515,-11.60695,0.00529,-10.87348,0.01507,EulerC2
53925.00512,-11.63902,0.00288,-10.88246,0.00026,EulerC2
53927.02370,-11.65432,0.00866,-10.86666,0.00617,EulerC2
53932.05391,-11.60639,0.00782,-10.85732,0.00032,EulerC2
53936.99999,-11.66179,0.00273,-10.86019,0.00845,EulerC2
53950.00309,-11.69215,0.01282,-10.88929,0.02636,EulerC2
53956.99909,-11.71082,0.01282,-10.88033,0.02636,EulerC2
53963.96753,-11.76249,0.01282,-10.88074,0.02636,EulerC2
54088.33931,-11.65118,0.00797,-10.82437,0.00877,EulerC2
54090.32434,-11.64487,0.00290,-10.82540,0.00693,EulerC2
54092.32888,-11.64106,0.00247,-10.81442,0.00225,EulerC2
54097.34049,-11.63817,0.00231,-10.82052,0.00337,EulerC2
54103.32678,-11.60129,0.00430,-10.81542,0.02038,EulerC2
54118.30442,-11.64109,0.01621,-10.81353,0.02885,EulerC2
54125.30898,-11.62965,0.00814,-10.79706,0.00279,EulerC2
54135.24523,-11.62249,0.00894,-10.82156,0.00720,EulerC2
54145.30904,-11.62922,0.00542,-10.78969,0.00772,EulerC2
54155.29960,-11.61913,0.00472,-10.80986,0.00280,EulerC2
54161.13430,-11.65793,0.00493,-10.78845,0.02476,EulerC2
54169.14779,-11.62811,0.00229,-10.85217,0.00288,EulerC2
54179.09541,-11.65054,0.00183,-10.82736,0.02002,EulerC2
54183.14734,-11.65592,0.00571,-10.79070,0.00593,EulerC2
54200.24854,-11.67188,0.00796,-10.89695,0.01288,EulerC2
54202.14466,-11.64750,0.00278,-10.86394,0.00451,EulerC2
54205.09341,-11.66703,0.00619,-10.85954,0.00305,EulerC2
54213.03309,-11.64789,0.00677,-10.87629,0.00486,EulerC2
54216.03441,-11.65269,0.00305,-10.90943,0.01809,EulerC2
54228.07411,-11.67626,0.00585,-10.88952,0.00266,EulerC2
54230.16228,-11.65753,0.00401,-10.97185,0.00672,EulerC2
54232.11693,-11.65957,0.00381,-10.92252,0.01922,EulerC2
54234.16338,-11.66390,0.00270,-10.93513,0.01293,EulerC2
54237.13765,-11.71204,0.00362,-10.90154,0.01784,EulerC2
54239.15911,-11.69405,0.00281,-10.92564,0.01199,EulerC2
54241.05731,-11.70683,0.01282,-10.82860,0.02636,EulerC2
54270.01301,-11.68782,0.00440,-10.88166,0.00170,EulerC2
54456.33912,-11.56339,0.00463,-10.78422,0.01955,EulerC2
54462.32256,-11.54461,0.01136,-10.85138,0.01910,EulerC2
54463.35421,-11.55714,0.00317,-10.82055,0.02074,EulerC2
54476.28408,-11.58395,0.00549,-10.79533,0.01573,EulerC2
54485.30124,-11.55660,0.00334,-10.72081,0.01093,EulerC2
54497.27690,-11.56499,0.01083,-10.79917,0.01633,EulerC2
54501.24656,-11.58438,0.00829,-10.75159,0.01682,EulerC2
54504.25060,-11.56780,0.00741,-10.84153,0.00452,EulerC2
54507.33467,-11.58835,0.00060,-10.70262,0.01309,EulerC2
54509.25213,-11.58465,0.00135,-10.70158,0.00426,EulerC2
54511.35235,-11.57337,0.00056,-10.68206,0.00236,EulerC2
54512.24916,-11.57037,0.01105,-10.71595,0.00497,EulerC2
54515.30385,-11.57671,0.00108,-10.67212,0.00591,EulerC2
54517.25876,-11.57835,0.01793,-10.64364,0.03594,EulerC2
54518.21511,-11.53372,0.00793,-10.78858,0.01408,EulerC2
54522.23779,-11.54732,0.00340,-10.74441,0.00635,EulerC2
54524.30445,-11.56021,0.01462,-10.70631,0.01419,EulerC2
54528.14629,-11.54999,0.00583,-10.74422,0.01152,EulerC2
54532.24372,-11.53961,0.01282,-10.75504,0.02636,EulerC2
54536.28584,-11.54706,0.00224,-10.64928,0.00951,EulerC2
54539.26251,-11.54002,0.00348,-10.69331,0.01053,EulerC2
54540.19625,-11.52170,0.01132,-10.74395,0.02643,EulerC2
54541.29153,-11.53392,0.00217,-10.67328,0.01479,EulerC2
54542.21580,-11.55191,0.00380,-10.61638,0.01518,EulerC2
54543.26616,-11.54259,0.00222,-10.64227,0.00755,EulerC2
54544.25599,-11.51804,0.00602,-10.70809,0.00222,EulerC2
54545.20932,-11.52291,0.00883,-10.59709,0.02213,EulerC2
54550.18945,-11.55648,0.00550,-10.57189,0.00591,EulerC2
54551.25626,-11.51319,0.00713,-10.62298,0.02615,EulerC2
54552.18000,-11.51570,0.00310,-10.64622,0.00924,EulerC2
54557.08798,-11.54595,0.01006,-10.61104,0.01073,EulerC2
54561.23743,-11.52822,0.00666,-10.64828,0.01798,EulerC2
54573.18359,-11.49183,0.00303,-10.61303,0.00985,EulerC2
54582.21315,-11.45284,0.00268,-10.66036,0.01638,EulerC2
54588.00630,-11.43238,0.00202,-10.72419,0.01381,EulerC2
54591.02364,-11.42589,0.00238,-10.66868,0.01966,EulerC2
54595.03657,-11.41664,0.00239,-10.63572,0.00401,EulerC2
54597.15278,-11.44260,0.00601,-10.60761,0.00136,EulerC2
54606.16920,-11.40272,0.00951,-10.59268,0.02438,EulerC2
54608.10150,-11.42024,0.00627,-10.54360,0.00766,EulerC2
54618.03986,-11.38877,0.00788,-10.59388,0.00873,EulerC2
54623.04063,-11.40221,0.00178,-10.58168,0.01505,EulerC2
54632.98626,-11.37714,0.00963,-10.53527,0.02628,EulerC2
54639.04161,-11.37391,0.00721,-10.52670,0.02993,EulerC2
54640.97969,-11.36872,0.00204,-10.53070,0.01631,EulerC2
54642.02735,-11.36721,0.00979,-10.55845,0.00558,EulerC2
54644.96005,-11.33625,0.00376,-10.53070,0.01303,EulerC2
54646.96448,-11.33929,0.01749,-10.53551,0.02192,EulerC2
54649.96251,-11.32974,0.00457,-10.53590,0.00729,EulerC2
54653.04650,-11.31754,0.00332,-10.55926,0.01191,EulerC2
54658.03826,-11.33596,0.00793,-10.53305,0.00143,EulerC2
54662.99885,-11.31410,0.00497,-10.52310,0.00586,EulerC2
54664.01654,-11.32557,0.00800,-10.52883,0.00294,EulerC2
54665.01791,-11.30824,0.01389,-10.53495,0.06435,EulerC2
54673.97169,-11.30404,0.00061,-10.46073,0.01454,EulerC2
54678.97415,-11.32576,0.00231,-10.50089,0.01742,EulerC2
54680.99546,-11.31693,0.01118,-10.46914,0.01409,EulerC2
54833.36320,-11.58435,0.00720,-10.69955,0.01609,EulerC2
54837.36361,-11.58933,0.00989,-10.70336,0.01458,EulerC2
54841.29305,-11.57196,0.00252,-10.77336,0.01070,EulerC2
54853.30136,-11.59019,0.00113,-10.67619,0.01397,EulerC2
54858.27560,-11.56790,0.00458,-10.76942,0.02112,EulerC2
54863.23699,-11.57420,0.01282,-10.80856,0.02636,EulerC2
54867.30904,-11.60105,0.00270,-10.68492,0.01173,EulerC2
54868.27381,-11.60559,0.00234,-10.69640,0.01104,EulerC2
54869.24798,-11.60593,0.00406,-10.73813,0.00454,EulerC2
54870.24766,-11.59431,0.01046,-10.75571,0.01079,EulerC2
54871.33468,-11.57601,0.00960,-10.76536,0.03893,EulerC2
54872.27662,-11.56575,0.00354,-10.76936,0.01545,EulerC2
54873.33678,-11.57810,0.00667,-10.78422,0.00144,EulerC2
54877.28764,-11.57941,0.00105,-10.72768,0.01537,EulerC2
54878.29738,-11.58812,0.00793,-10.75421,0.00420,EulerC2
54883.14594,-11.58443,0.00688,-10.89621,0.01477,EulerC2
54888.21539,-11.58479,0.00745,-10.85547,0.00661,EulerC2
54899.21158,-11.58333,0.00654,-10.82483,0.00470,EulerC2
54900.21220,-11.63060,0.00781,-10.84729,0.01892,EulerC2
